 0.0, 0.0, 1281
-2.2650, 1.1265, 347.347046, 2237
-2.2619, 1.1265, 347.347046, 2237
-2.2833, 1.1265, 347.347046, 2236
-2.2802, 1.1265, 347.347046, 2237
-2.2985, 1.1265, 347.347046, 2236
-3.3015, 1.1265, 347.347046, 2237
-3.3106, 1.1265, 347.347046, 2236
-3.3106, 1.1265, 347.347046, 2237
-3.3198, 1.1265, 347.347046, 2237
-3.3198, 1.1265, 347.347046, 2237
-3.3137, 1.1265, 347.347046, 2237
-3.3167, 1.1265, 347.347046, 2236
-3.3259, 1.1265, 347.347046, 2237
-3.3228, 1.1265, 347.347046, 2237
-3.3167, 1.1265, 347.347046, 2237
-3.3228, 1.1265, 347.347046, 2237
-3.3228, 1.1265, 347.347046, 2237
-3.3259, 1.1265, 347.347046, 2237
-3.3442, 1.1265, 347.347046, 2266
-3.3533, 1.1265, 347.347046, 2236
-3.3716, 1.1265, 347.347046, 2237
-3.3686, 1.1265, 347.347046, 2237
-3.3838, 1.1265, 347.347046, 2237
-3.3960, 1.1265, 347.347046, 2236
-4.4081, 1.1265, 347.347046, 2236
-4.4294, 1.1265, 347.347046, 2237
-4.4660, 1.1265, 347.347046, 2236
-4.4874, 1.1265, 347.347046, 2237
-5.5177, 1.1265, 347.347046, 2236
-5.5330, 1.1265, 347.347046, 2237
-5.5360, 1.1265, 347.347046, 2236
-5.5635, 1.1265, 347.347046, 2237
-5.5787, 1.1265, 347.347046, 2237
-5.5757, 1.1265, 347.347046, 2236
-5.5818, 1.1265, 347.347046, 2237
-5.5635, 1.1265, 347.347046, 2236
-5.5787, 1.1265, 347.347046, 2237
-5.5879, 1.1265, 347.347046, 2236
-5.5818, -1.1265, 347.346866, 2324
-5.5848, -1.1265, 347.346866, 2324
-5.5757, -1.1265, 347.346866, 2330
-5.5665, -1.1265, 347.346866, 2322
-5.5696, -1.1265, 347.346866, 2324
-5.5696, -1.1265, 347.346866, 2324
-5.5665, -1.1265, 347.346866, 2324
-5.5513, -1.1265, 347.346866, 2322
-5.5543, -1.1265, 347.346866, 2324
-5.5482, -1.1265, 347.346866, 2324
-5.5452, -1.1265, 347.346866, 2330
-5.5513, -1.1265, 347.346866, 2323
-5.5452, -1.1265, 347.346866, 2324
-5.5269, -1.1265, 347.346866, 2324
-5.5147, -1.1265, 347.346866, 2324
-5.5086, -1.1265, 347.346866, 2322
-4.4935, -1.1265, 347.346866, 2324
-4.4965, -1.1265, 347.346866, 2324
-4.4813, -1.1265, 347.346866, 2329
-4.4843, -1.1265, 347.346866, 2323
-4.4691, -1.1265, 347.346866, 2322
-4.4752, -1.1265, 347.346866, 2324
-4.4813, -1.1265, 347.346866, 2324
-4.4813, 0.259, 347.346686, 2151
-4.4813, 0.259, 347.346686, 2150
-4.4874, 0.259, 347.346686, 2149
-4.4935, 0.259, 347.346686, 2150
-5.5116, 0.259, 347.346686, 2150
-5.5116, 0.259, 347.346686, 2149
-5.5208, 0.259, 347.346686, 2150
-5.5238, 0.259, 347.346686, 2150
-5.5269, 0.259, 347.346686, 2151
-5.5238, 0.259, 347.346686, 2150
-5.5421, 0.259, 347.346686, 2149
-5.5482, 0.259, 347.346686, 2150
-5.5635, 0.259, 347.346686, 2150
-5.5574, 0.259, 347.346686, 2173
-5.5665, 0.259, 347.346686, 2150
-5.5513, 0.259, 347.346686, 2150
-5.5696, 0.259, 347.346686, 2150
-5.5482, 0.259, 347.346686, 2151
-5.5360, 0.259, 347.346686, 2150
-5.5360, 0.259, 347.346686, 2149
-5.5269, 0.259, 347.346686, 2150
-5.5330, 0.259, 347.346686, 2150
-5.5299, 0.259, 347.346686, 2149
-5.5269, 0.259, 346.346507, 2150
-5.5269, 0.259, 346.346507, 2150
-5.5452, 0.259, 346.346507, 2151
-5.5452, 0.259, 346.346507, 2150
-5.5391, 0.259, 346.346507, 2149
-5.5574, 0.259, 346.346507, 2150
-5.5482, 0.259, 346.346507, 2150
-5.5635, 0.259, 346.346507, 2149
-5.5543, 0.259, 346.346507, 2150
-5.5452, 0.259, 346.346507, 2150
-5.5238, 0.259, 346.346507, 2150
-5.5299, 0.259, 346.346507, 2189
-5.5299, 0.259, 346.346507, 2150
-5.5116, 0.259, 346.346507, 2150
-5.5086, 0.259, 346.346507, 2149
-5.5055, 0.259, 346.346507, 2150
-5.4995, 0.259, 346.346507, 2149
-4.4874, 0.259, 346.346507, 2151
-4.4904, 0.259, 346.346507, 2150
-4.4965, 0.259, 346.346507, 2149
-4.4813, 0.259, 346.346507, 2150
-4.4904, 0.259, 346.346507, 2150
-4.4843, 0.259, 346.346507, 2149
-4.4904, 0.259, 346.346507, 2150
-4.4874, 0.259, 346.346507, 2149
-4.4874, 0.259, 346.346327, 2151
-4.4843, -2.2505, 346.346327, 2324
-4.4843, -2.2505, 346.346327, 2324
-5.5025, -2.2505, 346.346327, 2322
-4.4965, -2.2505, 346.346327, 2323
-5.5025, -2.2505, 346.346327, 2324
-5.5116, -2.2505, 346.346327, 2324
-5.5147, -2.2505, 346.346327, 2323
-5.5238, -2.2505, 346.346327, 2323
-5.5208, -2.2505, 346.346327, 2324
-5.5177, -2.2505, 346.346327, 2324
-5.5299, -2.2505, 346.346327, 2322
